Date,Close,Open,High,Low,Volume,,
1/1/2018,10284.00,13794.00,17252.00,9231.10,1.62M,,
1/2/2018,10315.00,10278.00,11776.00,6000.00,1.93M,,
1/3/2018,6925.30,10316.00,11696.00,6533.00,1.78M,,
1/4/2018,9240.00,6925.40,9761.50,6432.40,1.28M,,
1/5/2018,7485.80,9240.70,9990.00,7048.60,820.00K,,
1/6/2018,6391.50,7485.90,7777.40,5762.90,721.71K,,
1/7/2018,7730.60,6617.60,8500.20,6080.80,785.16K,,
1/8/2018,7025.90,7731.30,7755.60,5879.30,926.33K,,
1/9/2018,6618.10,7022.90,7410.30,6112.70,655.32K,,
1/10/2018,6368.40,6625.90,7704.20,6223.00,412.85K,,
1/11/2018,4038.30,6374.80,6607.10,3663.00,954.42K,,
1/12/2018,3830.50,4043.60,4384.00,3219.20,973.22K,,
1/1/2019,3501.10,3832.60,4214.50,3427.20,438.33K,,
1/2/2019,3894.00,3502.70,4282.40,3426.90,376.31K,,
1/3/2019,4167.60,3894.00,4210.00,3767.40,209.86K,,
1/4/2019,5599.50,4167.50,5647.40,4127.20,413.61K,,
1/5/2019,8533.30,5599.60,9100.00,5585.50,501.56K,,
1/6/2019,10745.00,8531.90,13764.00,7461.00,506.18K,,
1/7/2019,10088.00,10777.00,13173.00,9111.00,498.49K,,
1/8/2019,9623.90,10096.00,12307.00,9360.40,267.64K,,
1/9/2019,8331.10,9623.90,10933.00,7753.00,203.49K,,
1/10/2019,9185.60,8331.10,10464.10,7341.50,202.42K,,
1/11/2019,7599.90,9185.60,9621.80,6619.40,176.81K,,
1/12/2019,7208.30,7599.90,7887.70,6479.40,163.80K,,
1/1/2020,9367.40,7208.20,9550.00,6909.30,196.26K,,
1/2/2020,8557.30,9371.30,10489.00,8455.20,220.57K,,
1/3/2020,6427.70,8561.50,9231.10,4001.00,653.74K,,
1/4/2020,8635.30,6429.00,9438.80,6180.00,311.03K,,
1/5/2020,9452.10,8630.80,10045.00,8107.40,277.15K,,
1/6/2020,9150.60,9452.10,10390.00,8857.30,148.73K,,
1/7/2020,11350.00,9150.60,11378.00,8950.20,117.37K,,
1/8/2020,11671.00,11350.00,12415.00,11032.00,146.79K,,
1/9/2020,10794.00,11671.00,12037.00,9964.10,128.34K,,
1/10/2020,13788.00,10795.00,13958.00,10476.00,125.27K,,
1/11/2020,19686.00,13788.00,19723.00,13401.00,284.29K,,
1/12/2020,28933.00,19695.00,29133.00,17764.00,293.56K,,
1/1/2021,33141.00,28933.00,41616.00,28932.00,479.93K,,
1/2/2021,45300.00,33141.00,58238.00,32595.00,321.22K,,
1/3/2021,58796.00,45300.00,61468.00,45300.00,267.80K,,
1/4/2021,57637.00,58796.00,64374.00,48409.80,251.62K,,
1/5/2021,37305.00,57634.70,59454.30,32623.00,430.70K,,
1/6/2021,35043.50,37305.00,40732.00,29927.00,352.27K,,
1/7/2021,41409.00,35043.50,42317.00,29341.00,217.92K,,
1/8/2021,47157.00,41409.00,50506.30,37361.00,174.28K,,
1/9/2021,43830.00,47157.00,52888.00,39678.00,177.13K,,
1/10/2021,61330.00,43830.00,66927.00,43311.00,182.94K,,
1/11/2021,56938.00,61330.00,68925.00,53482.00,169.14K,,
1/12/2021,46218.00,56938.00,59055.00,42101.00,170.53K,,
1/1/2022,38526.00,46218.00,47980.00,32981.00,190.49K,,
1/2/2022,43202.00,38495.00,45851.00,34435.00,149.12K,,
1/3/2022,45535.00,43202.00,48159.00,37198.00,142.89K,,
1/4/2022,37662.00,45535.00,47414.00,37633.00,106.58K,,
1/5/2022,31792.00,37662.00,39996.00,26600.00,218.80K,,
1/6/2022,19938.00,31792.00,31974.00,17611.00,238.61K,,
1/7/2022,23294.00,19938.00,24641.00,18774.00,167.25K,,
1/8/2022,20058.00,23294.00,25203.00,19540.00,145.16K,,
1/9/2022,19430.00,20058.00,22746.00,18214.00,302.66K,,
1/10/2022,20509.00,19430.00,21074.00,18200.00,100.51K,,
1/11/2022,17182.00,20509.00,21470.00,15501.00,127.45K,,
1/12/2022,17061.00,17182.00,18373.00,16720.00,29.21K,,
,,,,,,,
